epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
29,226.633,0.42643,0.50217,0.7265,0.83079,0,0.48535,0.98547,0.50893,0.4516,0.48535,0.98547,0.50893,0.47019,0.45966,0.56973,1.00537,0.80928,0,0.00120491,0.00120491,0.00120491
30,234.08,0.39584,0.48099,0.72485,0.80395,0,0.49391,1,0.56106,0.494,0.49391,1,0.56106,0.52013,0.46459,0.56927,1.01927,0.81631,0,0.0011884,0.0011884,0.0011884
31,241.883,0.44842,0.50632,0.72827,0.82057,0,0.46375,0.94737,0.51351,0.45286,0.46375,0.94737,0.51351,0.46736,0.44989,0.52542,1.22659,0.83428,0,0.0011719,0.0011719,0.0011719
32,249.443,0.41,0.52805,0.71864,0.83293,0,0.47347,0.96053,0.51111,0.45043,0.47347,0.96053,0.51111,0.45259,0.44619,0.71019,1.11382,0.81973,0,0.0011554,0.0011554,0.0011554
33,256.817,0.39332,0.49092,0.67584,0.82248,0,0.46464,0.97247,0.50703,0.46169,0.46464,0.97247,0.50703,0.47801,0.43185,0.53595,1.14348,0.80135,0,0.00113889,0.00113889,0.00113889
34,264.983,0.40076,0.49862,0.67263,0.82116,0,0.48111,0.97106,0.53615,0.46007,0.48111,0.97106,0.53615,0.46432,0.52138,0.74061,1.12903,0.85141,0,0.00112239,0.00112239,0.00112239
35,272.597,0.39361,0.48489,0.65177,0.81775,0,0.41655,0.75957,0.49713,0.43535,0.41655,0.75957,0.49713,0.4482,0.44818,0.58223,1.31693,0.82251,0,0.00110589,0.00110589,0.00110589
36,280.142,0.38885,0.48643,0.65237,0.81585,0,0.45805,0.9378,0.48184,0.43245,0.45805,0.9378,0.48184,0.44919,0.43626,0.49985,1.19537,0.81031,0,0.00108938,0.00108938,0.00108938
37,287.832,0.38549,0.48847,0.65572,0.81759,0,0.4592,0.84928,0.48625,0.42694,0.46148,0.85253,0.48633,0.42863,0.49665,0.73252,1.30828,0.82119,0,0.00107288,0.00107288,0.00107288
38,295.484,0.38791,0.46976,0.62056,0.8126,0,0.44327,0.76516,0.47988,0.43299,0.44327,0.76516,0.47988,0.42819,0.47652,0.8423,1.38644,0.81583,0,0.00105638,0.00105638,0.00105638
39,302.877,0.40365,0.49268,0.61532,0.81206,0,0.35814,0.68182,0.43469,0.38141,0.35814,0.68182,0.43469,0.39536,0.46155,0.56592,1.55345,0.82097,0,0.00103987,0.00103987,0.00103987
40,310.148,0.3855,0.50175,0.60778,0.82171,0,0,0,0,0,0,0,0,0,3.4238,6.39,7.70197,4.06116,0,0.00102337,0.00102337,0.00102337
